Year,Text
an International LGBT Rights Envoy to promote respect for the human rights
of LGBT people, and work towards the decriminalisation of homosexuality
worldwide.

Europe

Labour believes that our membership of the European Union is central to
our prosperity and security. It is why we will work to change the EU, so that it
operates in the best interests of our country. And it is why we will re-engage
with our European allies to protect our national interest after five years of
Britain being sidelined in Europe and isolated abroad.

The economic case for membership of the EU is overwhelming. Over 3 million
